label,카페,식당,술집,문화,운동,쇼핑,공원,기타
카페,23,7,2,7,2,2,2,0
식당,6,20,1,1,0,1,1,0
술집,5,6,9,3,2,0,0,0
문화,1,3,2,34,2,0,3,0
운동,0,0,1,1,45,0,3,0
쇼핑,1,2,0,1,0,21,0,0
공원,2,0,0,2,4,0,27,0
기타,0,0,0,0,0,0,0,0
