label,카페,식당,술집,문화,운동,쇼핑,공원,기타
카페,25,5,4,4,1,5,1,0
식당,6,18,2,2,0,1,1,0
술집,4,7,10,3,1,0,0,0
문화,7,1,2,27,4,0,4,0
운동,0,2,2,2,42,0,2,0
쇼핑,0,0,1,3,0,21,0,0
공원,1,0,0,6,3,0,25,0
기타,0,0,0,0,0,0,0,0
