label,카페,식당,술집,문화,운동,쇼핑,공원
카페,43,4,2,3,0,0,2
식당,3,27,1,0,0,0,2
술집,1,1,17,0,0,0,1
문화,2,0,0,31,0,0,1
운동,1,0,1,2,34,0,11
쇼핑,1,2,1,2,0,54,2
공원,0,0,0,1,0,0,86
