label,카페,식당,술집,문화,운동,쇼핑,공원
카페,38,5,3,0,0,1,7
식당,2,29,1,0,1,0,0
술집,4,4,11,0,0,0,1
문화,3,0,0,21,0,2,8
운동,2,0,1,0,41,1,4
쇼핑,7,1,0,2,1,43,8
공원,1,1,0,0,2,2,81
