label,카페,식당,술집,문화,운동,쇼핑,공원,기타
카페,36,1,3,1,0,1,3,0
식당,13,6,10,0,0,0,1,0
술집,12,1,9,2,0,0,1,0
문화,4,0,4,30,1,1,5,0
운동,6,0,2,4,25,0,13,0
쇼핑,5,2,1,5,0,9,3,0
공원,2,0,0,1,1,0,31,0
기타,0,0,0,0,0,0,0,0
