label,카페,식당,술집,문화,운동,쇼핑,공원,기타
카페,44,0,0,1,0,0,0,0
식당,1,28,1,0,0,0,0,0
술집,1,2,22,0,0,0,0,0
문화,1,0,1,41,1,0,1,0
운동,0,0,0,2,45,0,3,0
쇼핑,0,0,1,2,0,22,0,0
공원,0,0,0,0,1,0,34,0
기타,0,0,0,0,0,0,0,0
