label,카페,식당,술집,문화,운동,쇼핑,공원,기타
카페,22,16,2,2,0,2,0,1
식당,7,18,3,0,0,1,1,0
술집,5,12,8,0,0,0,0,0
문화,4,1,0,22,0,7,4,7
운동,3,3,2,6,15,0,18,3
쇼핑,0,1,0,5,0,19,0,0
공원,0,0,0,1,0,0,34,0
기타,0,0,0,0,0,0,0,0
