label,공원,문화,쇼핑,술집,식당,운동,카페
공원,332,8,0,1,0,7,2
문화,12,397,3,8,0,25,4
쇼핑,1,19,220,1,0,7,2
술집,0,8,0,217,12,6,7
식당,0,6,0,10,274,4,6
운동,17,9,0,0,0,472,2
카페,0,7,0,12,12,1,418
