model,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,predict_ms_per_sample_mean,predict_ms_per_sample_std,fit_seconds_mean,fit_seconds_std
nb,0.8862382988558881,0.016168310088056373,0.8825806963882388,0.01755187918863566,0.028631401472074925,0.0037935728738609535,0.07724150838330388,0.0037000655650147552
logistic_regression,0.9140875996764128,0.011519884714205605,0.912829937019465,0.012423976623018917,0.09085225610275516,0.04738993532198042,1.5869962363736705,0.49023706300323683
linear_svm,0.9282144920836704,0.021258550611376718,0.9280795810484326,0.02133416912249472,0.024858400696395118,0.003437142324998861,0.09558769061695785,0.011509745986637933
