label,공원,문화,쇼핑,술집,식당,운동,카페
공원,321,9,0,1,0,7,12
문화,11,384,2,7,0,28,17
쇼핑,1,29,211,1,0,3,5
술집,0,12,0,194,3,7,34
식당,0,5,2,16,240,1,36
운동,21,4,0,0,0,472,3
카페,0,4,0,7,1,1,437
