label,카페,식당,술집,문화,운동,쇼핑,공원,기타
카페,5,0,0,0,0,0,1,0
식당,4,1,1,1,0,0,0,0
술집,1,0,2,0,0,0,0,0
문화,0,0,0,1,0,0,0,0
운동,1,0,0,1,1,0,1,0
쇼핑,1,0,1,0,0,0,2,0
공원,1,0,0,0,0,0,4,0
기타,0,0,0,0,0,0,0,0
