label,카페,식당,술집,문화,운동,쇼핑,공원,기타
카페,5,1,0,0,0,0,0,0
식당,2,3,1,0,0,0,1,0
술집,0,2,1,0,0,0,0,0
문화,0,0,0,0,0,1,0,0
운동,0,0,0,1,2,0,1,0
쇼핑,0,1,0,1,0,2,0,0
공원,0,0,0,0,0,0,5,0
기타,0,0,0,0,0,0,0,0
